iter	Passed	Remaining
407	757	1098
408	758	1095
409	759	1093
410	760	1090
411	761	1087
412	762	1083
413	763	1080
414	764	1077
415	765	1074
416	766	1071
417	767	1068
418	768	1065
419	769	1062
420	771	1061
421	772	1058
422	773	1055
423	774	1052
424	775	1049
425	776	1046
426	777	1043
427	778	1040
428	779	1037
429	780	1034
430	781	1031
431	782	1028
432	783	1025
433	784	1023
434	786	1021
435	787	1018
436	788	1015
437	789	1013
438	790	1010
439	791	1007
440	792	1004
441	793	1001
442	794	998
443	795	995
444	796	993
445	797	990
446	798	987
447	799	985
448	801	983
449	802	980
450	803	977
451	804	975
452	805	972
453	806	969
454	807	966
455	808	964
456	809	961
